Language,Name,Profession,Gender,Age,Elimination Date,Elimination Week Number,Contestant Number,Wild Card,Host Name,Broadcasted By,OTT Platform,Average TRP,Most Viewed States,House Location,OTT Season,Number of Evictions Faced,Number of Times Elected as Captain,Number of Re-entries,Walked,Ejected,In Secret-Room,Won Eviction Free Pass,Won Ticket to Finale,Secret Task,Social Media Popularity,Finalist,Winner
Kannada,Nandhini_241,Reality Show Alumni,Female,Young,10-Sep-22,5.0,15.0,No,Sudeep,,Voot,,Karnataka,Bengaluru,Yes,4,0.0,0.0,0.0,0.0,,,,,,,0
Malayalam,Majiziya Bhanu_694,Sports Person,Female,Young,,6.0,5.0,No,Mohanlal,Asianet,Disney+ Hotstar,12.4,Kerala,Chennai,No,2,0.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Afsana Khan_775,Singer,Female,Young,,6.0,11.0,No,Salman Khan,Colors,Voot,,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Mumbai,No,2,0.0,0.0,0.0,1.0,,,,,,0.0,0
Malayalam,Akhil Marar_68,Film Director,Male,Middle,,,10.0,No,Mohanlal,Asianet,Disney+ Hotstar,,Kerala,Mumbai,No,9,2.0,0.0,0.0,0.0,,,,,,1.0,1
Kannada,Eshani Chandrashekar_230,Singer,Female,Young,,6.0,3.0,No,Sudeep,Colors Kannada,JioCinema,,Karnataka,Bengaluru,No,3,,,,,,,,,,0.0,0
Hindi,Dipika Kakar_480,Soap Actress,Female,Middle,,,4.0,No,Salman Khan,Colors,,4.99,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,9,0.0,0.0,0.0,0.0,,,,,8.0,1.0,1
Kannada,Sneha Acharya_290,Actress,Female,Young,,3.0,,No,Sudeep,Colors Super,Voot,,Karnataka,Bengaluru,No,2,0.0,0.0,0.0,0.0,,,,,,0.0,0
Marathi,Kishori Shahane_111,Actress,Female,Old,,14.0,1.0,No,Mahesh Manjrekar,Colors Marathi,,,Maharashtra,Mumbai,No,9,1.0,0.0,0.0,0.0,,,,,,1.0,0
Telugu,Hamida Khatoon_153,Actress,Female,Young,10-Oct-21,5.0,11.0,No,Nagarjuna,Star Maa,Disney+ Hotstar,18.2,"Telangana, Andhra Pradesh",Hyderabad,No,2,0.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Santosh Shukla_418,Actor,Male,Young,,11.0,19.0,Yes,Salman Khan,Colors,,3.81,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,3,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0
